population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,seed,runtime_seconds,dbi_before_ga,dbi_after_ga,dbi_improvement_pct,silhouette_score,ch_score,total_inertia,final_k,n_clusters_used
20,25,0.5,0.3,0.1,0.1,5,42,8.7618,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
20,25,0.5,0.3,0.1,0.1,5,43,8.428,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.5,0.3,0.1,0.1,5,44,8.24,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.5,0.3,0.1,0.1,5,45,9.163,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,25,0.5,0.3,0.1,0.1,5,46,9.5207,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.5,0.3,0.1,0.1,10,42,16.6624,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,25,0.5,0.3,0.1,0.1,10,43,16.4705,0.5599,0.542,3.2,0.5227,577.8108,1894.2941,3,3
20,25,0.5,0.3,0.1,0.1,10,44,16.465,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.5,0.3,0.1,0.1,10,45,16.2413,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,25,0.5,0.3,0.1,0.1,10,46,16.353,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,25,0.5,0.3,0.15,0.15,5,42,9.7904,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
20,25,0.5,0.3,0.15,0.15,5,43,9.5242,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.5,0.3,0.15,0.15,5,44,9.6312,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.5,0.3,0.15,0.15,5,45,9.7562,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,25,0.5,0.3,0.15,0.15,5,46,9.4318,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.5,0.3,0.15,0.15,10,42,15.9413,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
20,25,0.5,0.3,0.15,0.15,10,43,15.9505,0.5599,0.542,3.2,0.5227,577.8108,1894.2941,3,3
20,25,0.5,0.3,0.15,0.15,10,44,15.8498,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.5,0.3,0.15,0.15,10,45,15.891,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,25,0.5,0.3,0.15,0.15,10,46,16.2263,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,25,0.5,0.25,0.1,0.1,5,42,9.781,0.5599,0.5421,3.18,0.5227,578.0036,1893.7313,3,3
20,25,0.5,0.25,0.1,0.1,5,43,9.4522,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.5,0.25,0.1,0.1,5,44,9.5261,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.5,0.25,0.1,0.1,5,45,9.719,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,25,0.5,0.25,0.1,0.1,5,46,9.4129,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.5,0.25,0.1,0.1,10,42,16.7337,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,25,0.5,0.25,0.1,0.1,10,43,15.9078,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.5,0.25,0.1,0.1,10,44,16.1658,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,25,0.5,0.25,0.1,0.1,10,45,15.7925,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.5,0.25,0.1,0.1,10,46,16.5854,0.5599,0.5418,3.23,0.5227,577.9084,1894.0136,3,3
20,25,0.5,0.25,0.15,0.15,5,42,10.034,0.5599,0.5421,3.18,0.5227,578.0036,1893.7313,3,3
20,25,0.5,0.25,0.15,0.15,5,43,9.6034,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.5,0.25,0.15,0.15,5,44,9.5835,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.5,0.25,0.15,0.15,5,45,9.855,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,25,0.5,0.25,0.15,0.15,5,46,9.6097,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.5,0.25,0.15,0.15,10,42,16.3038,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,25,0.5,0.25,0.15,0.15,10,43,15.6956,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
20,25,0.5,0.25,0.15,0.15,10,44,16.4339,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,25,0.5,0.25,0.15,0.15,10,45,15.7804,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.5,0.25,0.15,0.15,10,46,16.2905,0.5599,0.5418,3.23,0.5227,577.9084,1894.0136,3,3
20,25,0.3,0.3,0.1,0.1,5,42,9.3364,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.3,0.3,0.1,0.1,5,43,9.7228,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,25,0.3,0.3,0.1,0.1,5,44,9.7396,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,25,0.3,0.3,0.1,0.1,5,45,9.7654,0.5599,0.5421,3.18,0.5228,578.0173,1893.6969,3,3
20,25,0.3,0.3,0.1,0.1,5,46,9.5028,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,25,0.3,0.3,0.1,0.1,10,42,16.1992,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,25,0.3,0.3,0.1,0.1,10,43,15.6922,0.5599,0.5418,3.23,0.5227,577.9145,1893.9968,3,3
20,25,0.3,0.3,0.1,0.1,10,44,16.0366,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,25,0.3,0.3,0.1,0.1,10,45,16.2884,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,25,0.3,0.3,0.1,0.1,10,46,15.9648,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
20,25,0.3,0.3,0.15,0.15,5,42,9.3193,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
20,25,0.3,0.3,0.15,0.15,5,43,10.1087,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
20,25,0.3,0.3,0.15,0.15,5,44,9.8851,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
