rank,population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,n_runs,mean_runtime_seconds,std_runtime_seconds,mean_dbi_before_ga,std_dbi_before_ga,mean_dbi_after_ga,std_dbi_after_ga,mean_dbi_improvement_pct,std_dbi_improvement_pct,mean_silhouette,std_silhouette,mean_ch_score,std_ch_score,best_single_run_dbi,best_single_run_silhouette
1,10,10,0.28,0.14,0.01,0.01,8,3,7.6478,0.1022,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5228,0.0,577.9667,0.0412,0.5418,0.5228
2,20,25,0.28,0.1,0.01,0.01,8,3,13.9544,0.1186,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5228,0.0,577.9656,0.0374,0.5418,0.5228
3,20,25,0.28,0.1,0.05,0.05,8,3,13.9924,0.134,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5228,0.0,577.9656,0.0374,0.5418,0.5228
4,10,25,0.2,0.1,0.01,0.01,8,3,8.0583,0.0935,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9954,0.0008,0.5419,0.5228
5,10,25,0.2,0.1,0.05,0.05,8,3,8.539,0.1585,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9954,0.0008,0.5419,0.5228
6,20,25,0.2,0.14,0.05,0.05,8,3,13.966,0.0851,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9939,0.0029,0.5419,0.5228
7,20,25,0.2,0.14,0.01,0.01,8,3,13.9662,0.0923,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9939,0.0029,0.5419,0.5228
8,10,10,0.28,0.14,0.05,0.05,8,3,7.5737,0.0268,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9502,0.0604,0.5419,0.5228
9,20,10,0.28,0.1,0.01,0.01,8,3,13.8031,0.0992,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9496,0.06,0.5419,0.5228
10,20,10,0.28,0.14,0.05,0.05,8,3,13.996,0.128,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9496,0.06,0.5419,0.5228
11,20,10,0.28,0.1,0.05,0.05,8,3,13.8409,0.0199,0.5599,0.0,0.5419,0.0,3.2067,0.0047,0.5228,0.0,577.9768,0.0258,0.5419,0.5228
12,20,25,0.2,0.1,0.05,0.05,8,3,14.1219,0.3533,0.5599,0.0,0.5419,0.0,3.2067,0.0047,0.5228,0.0,577.9759,0.0283,0.5419,0.5228
13,20,25,0.2,0.1,0.01,0.01,8,3,14.2346,0.2236,0.5599,0.0,0.5419,0.0,3.2067,0.0047,0.5228,0.0,577.9759,0.0283,0.5419,0.5228
14,20,10,0.2,0.14,0.05,0.05,8,3,13.8521,0.0505,0.5599,0.0,0.5419,0.0001,3.2067,0.0205,0.5228,0.0,577.9753,0.0485,0.5418,0.5228
15,20,25,0.28,0.14,0.01,0.01,8,3,11.6537,0.1545,0.5599,0.0,0.5419,0.0001,3.2067,0.0205,0.5228,0.0,577.9748,0.0457,0.5418,0.5228
16,20,25,0.28,0.14,0.05,0.05,8,3,12.588,0.4477,0.5599,0.0,0.5419,0.0001,3.2067,0.0205,0.5228,0.0,577.9748,0.0457,0.5418,0.5228
17,10,10,0.28,0.1,0.05,0.05,8,3,7.4759,0.0439,0.5599,0.0,0.542,0.0001,3.2,0.0141,0.5228,0.0,578.0051,0.013,0.5419,0.5228
18,10,25,0.2,0.14,0.05,0.05,8,3,9.5459,0.202,0.5599,0.0,0.542,0.0001,3.2,0.0141,0.5228,0.0,578.0025,0.0138,0.5419,0.5228
19,20,10,0.2,0.14,0.01,0.01,8,3,13.7973,0.0295,0.5599,0.0,0.542,0.0001,3.2,0.0141,0.5228,0.0,578.0025,0.0149,0.5419,0.5228
20,20,10,0.2,0.1,0.01,0.01,8,3,13.9102,0.092,0.5599,0.0,0.542,0.0001,3.2,0.0141,0.5228,0.0,578.0004,0.015,0.5419,0.5228
21,10,10,0.2,0.14,0.05,0.05,8,3,7.2447,0.0091,0.5599,0.0,0.542,0.0001,3.2,0.0141,0.5228,0.0,577.9608,0.0485,0.5419,0.5228
22,10,10,0.2,0.1,0.05,0.05,8,3,7.0994,0.0643,0.5599,0.0,0.542,0.0001,3.2,0.0141,0.5228,0.0,577.9583,0.0677,0.5419,0.5228
23,10,10,0.2,0.14,0.01,0.01,8,3,7.1107,0.003,0.5599,0.0,0.542,0.0001,3.1967,0.0125,0.5228,0.0,577.9794,0.042,0.5419,0.5228
24,20,10,0.28,0.14,0.01,0.01,8,3,14.303,0.1187,0.5599,0.0,0.542,0.0001,3.19,0.0141,0.5228,0.0,578.0137,0.0126,0.5419,0.5228
25,10,25,0.2,0.14,0.01,0.01,8,3,9.1182,0.079,0.5599,0.0,0.542,0.0001,3.19,0.0141,0.5228,0.0,578.0116,0.0113,0.5419,0.5228
26,10,25,0.28,0.14,0.01,0.01,8,3,9.2448,0.102,0.5599,0.0,0.542,0.0001,3.19,0.0141,0.5228,0.0,577.9699,0.056,0.5419,0.5228
27,10,25,0.28,0.14,0.05,0.05,8,3,9.3203,0.085,0.5599,0.0,0.542,0.0001,3.19,0.0141,0.5228,0.0,577.9699,0.056,0.5419,0.5228
28,10,25,0.28,0.1,0.05,0.05,8,3,9.2008,0.1257,0.5599,0.0,0.542,0.0001,3.2,0.0141,0.5227,0.0,577.9548,0.0638,0.5419,0.5228
29,10,25,0.28,0.1,0.01,0.01,8,3,9.2769,0.1201,0.5599,0.0,0.542,0.0001,3.2,0.0141,0.5227,0.0,577.9548,0.0638,0.5419,0.5228
