population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,seed,runtime_seconds,dbi_before_ga,dbi_after_ga,dbi_improvement_pct,silhouette_score,ch_score,total_inertia,final_k,n_clusters_used
10,10,0.2,0.1,0.01,0.01,8,42,7.1834,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.2,0.1,0.01,0.01,8,43,7.3554,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.2,0.1,0.01,0.01,8,44,7.1325,0.5599,0.5421,3.18,0.5228,578.0173,1893.6969,3,3
10,10,0.2,0.1,0.05,0.05,8,42,7.0328,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.2,0.1,0.05,0.05,8,43,7.1863,0.5599,0.5419,3.21,0.5227,577.8632,1894.11,3,3
10,10,0.2,0.1,0.05,0.05,8,44,7.0789,0.5599,0.5421,3.18,0.5228,578.0157,1893.7008,3,3
10,10,0.2,0.14,0.01,0.01,8,42,7.1135,0.5599,0.542,3.2,0.5227,577.9221,1893.9836,3,3
10,10,0.2,0.14,0.01,0.01,8,43,7.1121,0.5599,0.5419,3.21,0.5228,577.9943,1893.7484,3,3
10,10,0.2,0.14,0.01,0.01,8,44,7.1065,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,10,0.2,0.14,0.05,0.05,8,42,7.2442,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.2,0.14,0.05,0.05,8,43,7.2561,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.2,0.14,0.05,0.05,8,44,7.2338,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,10,0.28,0.1,0.01,0.01,8,42,7.2882,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,10,0.28,0.1,0.01,0.01,8,43,7.5122,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,10,0.28,0.1,0.01,0.01,8,44,7.6223,0.5599,0.542,3.2,0.5226,578.0556,1893.6,3,3
10,10,0.28,0.1,0.05,0.05,8,42,7.4741,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.1,0.05,0.05,8,43,7.423,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,10,0.28,0.1,0.05,0.05,8,44,7.5304,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
