rank,population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,n_runs,mean_runtime_seconds,std_runtime_seconds,mean_dbi_before_ga,std_dbi_before_ga,mean_dbi_after_ga,std_dbi_after_ga,mean_dbi_improvement_pct,std_dbi_improvement_pct,mean_silhouette,std_silhouette,mean_ch_score,std_ch_score,best_single_run_dbi,best_single_run_silhouette
1,30,25,0.2,0.14,0.05,0.05,8,3,19.2311,3.7487,0.5599,0.0,0.5418,0.0,3.2233,0.0094,0.5227,0.0,577.9405,0.038,0.5418,0.5228
2,30,25,0.2,0.14,0.01,0.01,8,3,25.2013,3.3212,0.5599,0.0,0.5418,0.0,3.2233,0.0094,0.5227,0.0,577.9405,0.038,0.5418,0.5228
3,10,10,0.28,0.14,0.01,0.01,8,3,10.1783,0.0799,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5228,0.0,577.9667,0.0412,0.5418,0.5228
4,30,25,0.2,0.1,0.05,0.05,8,3,23.5836,3.5752,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5228,0.0,577.9662,0.0366,0.5418,0.5228
5,30,25,0.2,0.1,0.01,0.01,8,3,24.5251,2.3581,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5228,0.0,577.9662,0.0366,0.5418,0.5228
6,20,25,0.28,0.1,0.05,0.05,8,3,17.3763,2.8456,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5228,0.0,577.9656,0.0374,0.5418,0.5228
7,20,25,0.28,0.1,0.01,0.01,8,3,17.379,1.7703,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5228,0.0,577.9656,0.0374,0.5418,0.5228
8,20,10,0.2,0.14,0.05,0.05,5,3,11.2671,0.8624,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9959,0.0,0.5419,0.5228
9,20,10,0.2,0.14,0.01,0.01,5,3,11.5249,0.9516,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9959,0.0,0.5419,0.5228
10,10,25,0.2,0.1,0.01,0.01,8,3,10.4384,0.104,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9954,0.0008,0.5419,0.5228
11,10,25,0.2,0.1,0.05,0.05,8,3,10.5134,0.2306,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9954,0.0008,0.5419,0.5228
12,30,25,0.2,0.1,0.01,0.01,5,3,16.4204,1.372,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9954,0.0008,0.5419,0.5228
13,30,25,0.2,0.14,0.05,0.05,5,3,16.4382,1.6298,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9954,0.0008,0.5419,0.5228
14,30,25,0.2,0.1,0.05,0.05,5,3,16.5475,1.3956,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9954,0.0008,0.5419,0.5228
15,30,25,0.2,0.14,0.01,0.01,5,3,16.5887,1.5083,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9954,0.0008,0.5419,0.5228
16,20,10,0.2,0.1,0.01,0.01,5,3,11.6615,0.1717,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9948,0.0008,0.5419,0.5228
17,30,10,0.2,0.14,0.01,0.01,8,3,23.2688,2.1734,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9948,0.0008,0.5419,0.5228
18,20,25,0.2,0.14,0.01,0.01,8,3,17.7525,1.673,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9939,0.0029,0.5419,0.5228
19,20,25,0.2,0.14,0.05,0.05,8,3,19.2371,2.736,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9939,0.0029,0.5419,0.5228
20,30,25,0.28,0.1,0.01,0.01,8,3,17.7797,1.7569,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9918,0.0029,0.5419,0.5228
21,30,25,0.28,0.14,0.01,0.01,8,3,18.0283,1.3916,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9918,0.0029,0.5419,0.5228
22,30,25,0.28,0.14,0.05,0.05,8,3,18.2,1.6324,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9918,0.0029,0.5419,0.5228
23,30,25,0.28,0.1,0.05,0.05,8,3,18.3156,1.8136,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9918,0.0029,0.5419,0.5228
24,30,10,0.28,0.14,0.01,0.01,5,3,16.4718,1.5919,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9913,0.0021,0.5419,0.5228
25,30,10,0.28,0.14,0.05,0.05,5,3,18.1353,2.4731,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9913,0.0021,0.5419,0.5228
26,30,10,0.28,0.1,0.05,0.05,8,3,23.7392,1.7714,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9913,0.0021,0.5419,0.5228
27,30,10,0.28,0.1,0.01,0.01,8,3,22.5928,1.2422,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9898,0.0,0.5419,0.5228
28,20,25,0.28,0.1,0.05,0.05,5,3,11.9769,1.1723,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9522,0.0618,0.5419,0.5228
29,20,25,0.28,0.1,0.01,0.01,5,3,12.0912,0.8024,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9522,0.0618,0.5419,0.5228
30,20,25,0.28,0.14,0.01,0.01,5,3,12.2718,1.6324,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9522,0.0618,0.5419,0.5228
31,20,25,0.28,0.14,0.05,0.05,5,3,12.8011,1.5386,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9522,0.0618,0.5419,0.5228
32,30,10,0.2,0.1,0.05,0.05,5,3,15.4502,0.8813,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9522,0.0618,0.5419,0.5228
33,30,10,0.2,0.1,0.01,0.01,5,3,16.3811,1.1457,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9522,0.0618,0.5419,0.5228
34,30,10,0.28,0.1,0.05,0.05,5,3,16.5713,1.98,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9522,0.0618,0.5419,0.5228
35,30,10,0.28,0.1,0.01,0.01,5,3,16.6274,1.6103,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9522,0.0618,0.5419,0.5228
36,30,10,0.2,0.1,0.01,0.01,8,3,23.6355,2.4262,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9522,0.0618,0.5419,0.5228
37,30,10,0.2,0.14,0.05,0.05,5,3,16.1985,1.0747,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9517,0.0614,0.5419,0.5228
38,30,10,0.2,0.14,0.01,0.01,5,3,16.5861,2.0702,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9517,0.0614,0.5419,0.5228
39,10,10,0.28,0.14,0.05,0.05,8,3,10.0534,0.0315,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9502,0.0604,0.5419,0.5228
40,30,10,0.2,0.14,0.05,0.05,8,3,24.0425,2.1367,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9502,0.0604,0.5419,0.5228
41,20,10,0.28,0.1,0.01,0.01,8,3,15.6913,0.7453,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9496,0.06,0.5419,0.5228
42,20,10,0.28,0.14,0.05,0.05,8,3,15.7694,1.2043,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9496,0.06,0.5419,0.5228
43,20,10,0.2,0.1,0.05,0.05,5,3,11.4201,0.0799,0.5599,0.0,0.5419,0.0001,3.2067,0.0205,0.5228,0.0,577.9768,0.0465,0.5418,0.5228
44,20,10,0.28,0.1,0.05,0.05,8,3,15.8729,1.3093,0.5599,0.0,0.5419,0.0,3.2067,0.0047,0.5228,0.0,577.9768,0.0258,0.5419,0.5228
45,20,25,0.2,0.1,0.01,0.01,8,3,16.2342,1.0101,0.5599,0.0,0.5419,0.0,3.2067,0.0047,0.5228,0.0,577.9759,0.0283,0.5419,0.5228
46,20,25,0.2,0.1,0.05,0.05,8,3,17.2688,2.406,0.5599,0.0,0.5419,0.0,3.2067,0.0047,0.5228,0.0,577.9759,0.0283,0.5419,0.5228
47,20,10,0.2,0.14,0.05,0.05,8,3,16.0259,1.1837,0.5599,0.0,0.5419,0.0001,3.2067,0.0205,0.5228,0.0,577.9753,0.0485,0.5418,0.5228
48,20,25,0.28,0.14,0.01,0.01,8,3,17.2284,1.3344,0.5599,0.0,0.5419,0.0001,3.2067,0.0205,0.5228,0.0,577.9748,0.0457,0.5418,0.5228
49,20,25,0.28,0.14,0.05,0.05,8,3,17.5296,2.4271,0.5599,0.0,0.5419,0.0001,3.2067,0.0205,0.5228,0.0,577.9748,0.0457,0.5418,0.5228
50,30,10,0.28,0.14,0.01,0.01,8,3,23.1564,1.0745,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5227,0.0001,577.9225,0.0984,0.5418,0.5228
