population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,seed,runtime_seconds,dbi_before_ga,dbi_after_ga,dbi_improvement_pct,silhouette_score,ch_score,total_inertia,final_k,n_clusters_used
10,10,0.2,0.1,0.01,0.01,5,42,8.1609,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
10,10,0.2,0.1,0.01,0.01,5,43,8.3442,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,10,0.2,0.1,0.01,0.01,5,44,7.7269,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,10,0.2,0.1,0.01,0.01,8,42,10.4744,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.2,0.1,0.01,0.01,8,43,10.7156,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.2,0.1,0.01,0.01,8,44,10.5951,0.5599,0.5421,3.18,0.5228,578.0173,1893.6969,3,3
10,10,0.2,0.1,0.05,0.05,5,42,7.7841,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.2,0.1,0.05,0.05,5,43,8.2096,0.5599,0.5421,3.18,0.5227,578.4783,1892.6024,3,3
10,10,0.2,0.1,0.05,0.05,5,44,7.844,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,10,0.2,0.1,0.05,0.05,8,42,10.551,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.2,0.1,0.05,0.05,8,43,10.7881,0.5599,0.5419,3.21,0.5227,577.8632,1894.11,3,3
10,10,0.2,0.1,0.05,0.05,8,44,10.4257,0.5599,0.5421,3.18,0.5228,578.0157,1893.7008,3,3
10,10,0.2,0.14,0.01,0.01,5,42,8.0496,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.2,0.14,0.01,0.01,5,43,7.7772,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.2,0.14,0.01,0.01,5,44,7.8971,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,10,0.2,0.14,0.01,0.01,8,42,10.5298,0.5599,0.542,3.2,0.5227,577.9221,1893.9836,3,3
10,10,0.2,0.14,0.01,0.01,8,43,10.4666,0.5599,0.5419,3.21,0.5228,577.9943,1893.7484,3,3
10,10,0.2,0.14,0.01,0.01,8,44,10.3836,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,10,0.2,0.14,0.05,0.05,5,42,8.1727,0.5599,0.5421,3.18,0.5228,578.0218,1893.684,3,3
10,10,0.2,0.14,0.05,0.05,5,43,7.8778,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.2,0.14,0.05,0.05,5,44,8.0663,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,10,0.2,0.14,0.05,0.05,8,42,10.5154,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.2,0.14,0.05,0.05,8,43,10.5641,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.2,0.14,0.05,0.05,8,44,10.5553,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,10,0.28,0.1,0.01,0.01,5,42,7.8826,0.5599,0.5422,3.16,0.5227,577.9964,1893.7751,3,3
10,10,0.28,0.1,0.01,0.01,5,43,8.0676,0.5599,0.5421,3.18,0.5228,577.9029,1894.0123,3,3
10,10,0.28,0.1,0.01,0.01,5,44,7.8903,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.28,0.1,0.01,0.01,8,42,10.8473,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,10,0.28,0.1,0.01,0.01,8,43,10.5972,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,10,0.28,0.1,0.01,0.01,8,44,10.6872,0.5599,0.542,3.2,0.5226,578.0556,1893.6,3,3
10,10,0.28,0.1,0.05,0.05,5,42,7.9778,0.5599,0.5422,3.16,0.5227,577.9964,1893.7751,3,3
10,10,0.28,0.1,0.05,0.05,5,43,7.8392,0.5599,0.5421,3.18,0.5228,577.9029,1894.0123,3,3
10,10,0.28,0.1,0.05,0.05,5,44,7.5573,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,10,0.28,0.1,0.05,0.05,8,42,9.9919,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.1,0.05,0.05,8,43,9.7878,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,10,0.28,0.1,0.05,0.05,8,44,9.8694,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.14,0.01,0.01,5,42,7.5379,0.5599,0.5419,3.21,0.5227,578.5047,1892.2936,3,3
10,10,0.28,0.14,0.01,0.01,5,43,7.4138,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.14,0.01,0.01,5,44,7.4981,0.5599,0.5421,3.18,0.5226,578.4011,1892.5909,3,3
10,10,0.28,0.14,0.01,0.01,8,42,10.099,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.14,0.01,0.01,8,43,10.2877,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.14,0.01,0.01,8,44,10.1484,0.5599,0.5418,3.23,0.5227,577.9084,1894.0136,3,3
10,10,0.28,0.14,0.05,0.05,5,42,7.6012,0.5599,0.5419,3.21,0.5227,578.5047,1892.2936,3,3
10,10,0.28,0.14,0.05,0.05,5,43,7.6168,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.14,0.05,0.05,5,44,7.6354,0.5599,0.5421,3.18,0.5226,578.4011,1892.5909,3,3
10,10,0.28,0.14,0.05,0.05,8,42,10.0187,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.28,0.14,0.05,0.05,8,43,10.0465,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
10,10,0.28,0.14,0.05,0.05,8,44,10.0949,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
10,25,0.2,0.1,0.01,0.01,5,42,7.7231,0.5599,0.5421,3.18,0.5226,578.0814,1893.5396,3,3
10,25,0.2,0.1,0.01,0.01,5,43,7.7622,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.1,0.01,0.01,5,44,7.6014,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.1,0.01,0.01,8,42,10.5579,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.2,0.1,0.01,0.01,8,43,10.3043,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.2,0.1,0.01,0.01,8,44,10.4532,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,25,0.2,0.1,0.05,0.05,5,42,8.2919,0.5599,0.5421,3.18,0.5226,578.0814,1893.5396,3,3
10,25,0.2,0.1,0.05,0.05,5,43,8.6806,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.1,0.05,0.05,5,44,8.4314,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.1,0.05,0.05,8,42,10.8392,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.2,0.1,0.05,0.05,8,43,10.3371,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.2,0.1,0.05,0.05,8,44,10.3639,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,25,0.2,0.14,0.01,0.01,5,42,7.7196,0.5599,0.5421,3.18,0.5226,578.0814,1893.5396,3,3
10,25,0.2,0.14,0.01,0.01,5,43,7.8568,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.14,0.01,0.01,5,44,7.6825,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.14,0.01,0.01,8,42,10.6353,0.5599,0.5421,3.18,0.5228,578.0173,1893.6969,3,3
10,25,0.2,0.14,0.01,0.01,8,43,10.3643,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.2,0.14,0.01,0.01,8,44,10.4712,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,25,0.2,0.14,0.05,0.05,5,42,7.7627,0.5599,0.5421,3.18,0.5226,578.0814,1893.5396,3,3
10,25,0.2,0.14,0.05,0.05,5,43,7.8508,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.14,0.05,0.05,5,44,7.6427,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.2,0.14,0.05,0.05,8,42,11.0029,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
10,25,0.2,0.14,0.05,0.05,8,43,10.411,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.2,0.14,0.05,0.05,8,44,10.3534,0.5599,0.5421,3.18,0.5228,578.0217,1893.6846,3,3
10,25,0.28,0.1,0.01,0.01,5,42,7.6522,0.5599,0.5421,3.18,0.5227,578.0036,1893.7307,3,3
10,25,0.28,0.1,0.01,0.01,5,43,7.5146,0.5599,0.5419,3.21,0.5226,578.3379,1892.9816,3,3
10,25,0.28,0.1,0.01,0.01,5,44,8.1679,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
10,25,0.28,0.1,0.01,0.01,8,42,10.143,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
