rank,population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,n_runs,mean_runtime_seconds,std_runtime_seconds,mean_dbi_before_ga,std_dbi_before_ga,mean_dbi_after_ga,std_dbi_after_ga,mean_dbi_improvement_pct,std_dbi_improvement_pct,mean_silhouette,std_silhouette,mean_ch_score,std_ch_score,best_single_run_dbi,best_single_run_silhouette
1,30,10,0.1,0.1,0.1,0.1,8,5,18.1745,0.1022,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9765,0.032,0.5418,0.5228
2,30,50,0.1,0.1,0.1,0.1,8,5,18.0606,0.2879,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9762,0.0318,0.5418,0.5228
3,30,25,0.1,0.1,0.1,0.1,8,5,18.2419,0.17,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9762,0.0318,0.5418,0.5228
4,30,50,0.1,0.1,0.1,0.1,5,5,12.799,0.322,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9521,0.0539,0.5418,0.5228
5,30,25,0.1,0.1,0.1,0.1,5,5,13.0379,0.4235,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9521,0.0539,0.5418,0.5228
6,30,25,0.01,0.01,0.01,0.01,12,5,25.8628,0.5744,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9518,0.0537,0.5418,0.5228
7,30,10,0.1,0.1,0.1,0.1,12,5,19.7268,0.073,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9506,0.0541,0.5418,0.5228
8,20,10,0.1,0.1,0.1,0.1,5,5,9.8067,0.0843,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,578.0964,0.2041,0.5419,0.5228
9,20,50,0.05,0.05,0.05,0.05,12,5,18.5477,0.1676,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,578.0955,0.2038,0.5419,0.5228
10,20,10,0.1,0.1,0.1,0.1,8,5,13.7895,0.0835,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9956,0.0006,0.5419,0.5228
11,20,25,0.1,0.1,0.1,0.1,5,5,8.436,0.0871,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9947,0.0024,0.5419,0.5228
