population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,seed,runtime_seconds,dbi_before_ga,dbi_after_ga,dbi_improvement_pct,silhouette_score,ch_score,total_inertia,final_k,n_clusters_used
10,10,0.01,0.01,0.01,0.01,5,42,5.734,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.01,0.01,0.01,0.01,5,43,5.5572,0.5599,0.5419,3.21,0.5227,578.4674,1892.6245,3,3
10,10,0.01,0.01,0.01,0.01,5,44,5.6794,0.5599,0.5421,3.18,0.5226,577.9503,1893.9012,3,3
10,10,0.01,0.01,0.01,0.01,5,45,5.6793,0.5599,0.5419,3.21,0.5227,578.5031,1892.2981,3,3
10,10,0.01,0.01,0.01,0.01,5,46,5.7352,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.01,0.01,0.01,0.01,8,42,7.4897,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.01,0.01,0.01,0.01,8,43,7.593,0.5599,0.5419,3.21,0.5226,578.3736,1892.6552,3,3
10,10,0.01,0.01,0.01,0.01,8,44,7.7151,0.5599,0.5421,3.18,0.5228,578.0173,1893.6969,3,3
10,10,0.01,0.01,0.01,0.01,8,45,7.9925,0.5599,0.5423,3.14,0.5228,577.9106,1893.9985,3,3
10,10,0.01,0.01,0.01,0.01,8,46,8.0719,0.5599,0.5421,3.18,0.5226,578.5323,1892.2164,3,3
10,10,0.01,0.01,0.01,0.01,12,42,9.2093,0.5599,0.5419,3.21,0.5227,578.469,1892.62,3,3
10,10,0.01,0.01,0.01,0.01,12,43,9.628,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
10,10,0.01,0.01,0.01,0.01,12,44,10.145,0.5599,0.5422,3.16,0.5227,578.4793,1892.3773,3,3
10,10,0.01,0.01,0.01,0.01,12,45,10.8312,0.5599,0.5421,3.18,0.5227,578.4965,1892.5557,3,3
10,10,0.01,0.01,0.01,0.01,12,46,11.3587,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.05,0.05,0.05,0.05,5,42,8.2496,0.5599,0.5419,3.21,0.5227,578.5047,1892.2936,3,3
10,10,0.05,0.05,0.05,0.05,5,43,8.1577,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,10,0.05,0.05,0.05,0.05,5,44,8.001,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,10,0.05,0.05,0.05,0.05,5,45,8.1565,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.05,0.05,0.05,0.05,5,46,7.7139,0.5599,0.542,3.2,0.5226,578.0556,1893.6,3,3
10,10,0.05,0.05,0.05,0.05,8,42,10.0731,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.05,0.05,0.05,0.05,8,43,9.981,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.05,0.05,0.05,0.05,8,44,9.9002,0.5599,0.5419,3.21,0.5228,577.8754,1894.0766,3,3
10,10,0.05,0.05,0.05,0.05,8,45,9.6047,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.05,0.05,0.05,0.05,8,46,9.8416,0.5599,0.5421,3.18,0.5228,578.0218,1893.684,3,3
