rank,population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,n_runs,mean_runtime_seconds,std_runtime_seconds,mean_dbi_before_ga,std_dbi_before_ga,mean_dbi_after_ga,std_dbi_after_ga,mean_dbi_improvement_pct,std_dbi_improvement_pct,mean_silhouette,std_silhouette,mean_ch_score,std_ch_score,best_single_run_dbi,best_single_run_silhouette
1,30,10,0.1,0.1,0.1,0.1,8,5,19.039,0.0413,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9765,0.032,0.5418,0.5228
2,30,25,0.1,0.1,0.1,0.1,8,5,19.5597,0.3181,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9762,0.0318,0.5418,0.5228
3,30,50,0.1,0.1,0.1,0.1,8,5,21.3511,0.8102,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9762,0.0318,0.5418,0.5228
4,30,50,0.1,0.1,0.1,0.1,5,5,14.2977,0.4876,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9521,0.0539,0.5418,0.5228
5,30,25,0.1,0.1,0.1,0.1,5,5,14.5098,0.7329,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9521,0.0539,0.5418,0.5228
6,30,25,0.01,0.01,0.01,0.01,12,5,29.1462,2.4728,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9518,0.0537,0.5418,0.5228
7,30,10,0.1,0.1,0.1,0.1,12,5,20.5377,0.1233,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9506,0.0541,0.5418,0.5228
8,20,10,0.1,0.1,0.1,0.1,5,5,10.0075,0.0944,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,578.0964,0.2041,0.5419,0.5228
9,20,50,0.05,0.05,0.05,0.05,12,5,19.1035,0.1783,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,578.0955,0.2038,0.5419,0.5228
10,20,10,0.1,0.1,0.1,0.1,8,5,14.223,0.1372,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9956,0.0006,0.5419,0.5228
11,20,50,0.1,0.1,0.1,0.1,5,5,9.7801,0.104,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9947,0.0024,0.5419,0.5228
12,20,25,0.1,0.1,0.1,0.1,5,5,9.901,0.116,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9947,0.0024,0.5419,0.5228
13,30,10,0.01,0.01,0.01,0.01,12,5,20.4979,0.1677,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9937,0.0021,0.5419,0.5228
14,30,10,0.01,0.01,0.01,0.01,8,5,18.722,0.0842,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9935,0.003,0.5419,0.5228
15,30,25,0.01,0.01,0.01,0.01,8,5,18.9333,0.3479,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9935,0.003,0.5419,0.5228
16,30,50,0.01,0.01,0.01,0.01,8,5,19.2929,0.2734,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9935,0.003,0.5419,0.5228
17,20,25,0.05,0.05,0.05,0.05,12,5,19.4906,0.211,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9934,0.0021,0.5419,0.5228
18,30,10,0.05,0.05,0.05,0.05,12,5,20.6014,0.1349,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9925,0.0022,0.5419,0.5228
19,30,50,0.1,0.1,0.1,0.1,12,5,28.1036,0.662,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9694,0.0523,0.5419,0.5228
20,20,50,0.01,0.01,0.01,0.01,5,5,9.9461,0.089,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9685,0.0519,0.5419,0.5228
21,20,25,0.01,0.01,0.01,0.01,5,5,10.0408,0.0885,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9685,0.0519,0.5419,0.5228
22,20,10,0.01,0.01,0.01,0.01,5,5,10.0596,0.0902,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9685,0.0519,0.5419,0.5228
23,30,10,0.1,0.1,0.1,0.1,5,5,13.4308,0.2128,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9684,0.0518,0.5419,0.5228
24,30,10,0.05,0.05,0.05,0.05,8,5,18.7325,0.138,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9678,0.0516,0.5419,0.5228
25,30,25,0.05,0.05,0.05,0.05,8,5,19.3492,0.1249,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9678,0.0516,0.5419,0.5228
26,30,50,0.05,0.05,0.05,0.05,8,5,22.329,0.8815,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9678,0.0516,0.5419,0.5228
27,30,25,0.05,0.05,0.05,0.05,12,5,28.5798,1.5452,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9654,0.0503,0.5419,0.5228
28,30,50,0.05,0.05,0.05,0.05,12,5,30.3037,0.1627,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9645,0.0498,0.5419,0.5228
29,30,25,0.05,0.05,0.05,0.05,5,5,13.9582,0.3952,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9435,0.0642,0.5419,0.5228
30,30,50,0.05,0.05,0.05,0.05,5,5,14.4182,0.4952,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9435,0.0642,0.5419,0.5228
31,30,10,0.05,0.05,0.05,0.05,5,5,13.1493,0.1781,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9431,0.064,0.5419,0.5228
32,20,10,0.1,0.1,0.1,0.1,12,5,15.3177,0.0468,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9428,0.0637,0.5419,0.5228
33,20,50,0.05,0.05,0.05,0.05,8,5,13.8952,0.1077,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,578.0691,0.2038,0.5419,0.5228
34,20,10,0.05,0.05,0.05,0.05,8,5,13.9006,0.046,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,578.0691,0.2038,0.5419,0.5228
35,20,25,0.05,0.05,0.05,0.05,8,5,13.9267,0.167,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,578.0691,0.2038,0.5419,0.5228
36,20,50,0.1,0.1,0.1,0.1,8,5,13.9441,0.2369,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9995,0.0114,0.5419,0.5228
37,20,25,0.1,0.1,0.1,0.1,8,5,14.165,0.2319,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9995,0.0114,0.5419,0.5228
38,30,25,0.1,0.1,0.1,0.1,12,5,27.4682,0.5662,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9995,0.0113,0.5419,0.5228
39,20,10,0.05,0.05,0.05,0.05,12,5,15.1775,0.0596,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9992,0.0122,0.5419,0.5228
40,10,10,0.05,0.05,0.05,0.05,8,5,7.5746,0.0813,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.977,0.0518,0.5419,0.5228
41,20,10,0.01,0.01,0.01,0.01,12,5,15.3587,0.1943,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9752,0.0415,0.5419,0.5228
42,30,25,0.01,0.01,0.01,0.01,5,5,13.4113,0.4445,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9721,0.0545,0.5419,0.5228
43,30,50,0.01,0.01,0.01,0.01,5,5,13.664,0.4392,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9721,0.0545,0.5419,0.5228
44,30,10,0.01,0.01,0.01,0.01,5,5,13.2455,0.1437,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9718,0.0544,0.5419,0.5228
