population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,seed,runtime_seconds,dbi_before_ga,dbi_after_ga,dbi_improvement_pct,silhouette_score,ch_score,total_inertia,final_k,n_clusters_used
10,25,0.01,0.01,0.01,0.01,5,46,6.6364,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.01,0.01,0.01,0.01,8,42,8.9814,0.5599,0.5422,3.16,0.5226,577.9782,1893.8217,3,3
10,25,0.01,0.01,0.01,0.01,8,43,9.07,0.5599,0.5422,3.16,0.5226,578.2355,1892.8457,3,3
10,25,0.01,0.01,0.01,0.01,8,44,9.1543,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
10,25,0.01,0.01,0.01,0.01,8,45,8.9447,0.5599,0.5421,3.18,0.5228,577.9013,1894.0161,3,3
10,25,0.01,0.01,0.01,0.01,8,46,8.7639,0.5599,0.5421,3.18,0.5226,578.5323,1892.2164,3,3
10,25,0.01,0.01,0.01,0.01,12,42,11.9938,0.5599,0.5419,3.21,0.5227,578.5031,1892.2981,3,3
10,25,0.01,0.01,0.01,0.01,12,43,12.1206,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.01,0.01,0.01,0.01,12,44,11.9798,0.5599,0.5419,3.21,0.5226,578.4971,1892.3142,3,3
10,25,0.01,0.01,0.01,0.01,12,45,11.9462,0.5599,0.5419,3.21,0.5228,577.8754,1894.0766,3,3
10,25,0.01,0.01,0.01,0.01,12,46,11.8184,0.5599,0.5421,3.18,0.5227,578.0052,1893.7268,3,3
10,25,0.05,0.05,0.05,0.05,5,42,6.7231,0.5599,0.5419,3.21,0.5227,578.5047,1892.2936,3,3
10,25,0.05,0.05,0.05,0.05,5,43,6.5877,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,25,0.05,0.05,0.05,0.05,5,44,6.6298,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.05,0.05,0.05,0.05,5,45,6.8018,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.05,0.05,0.05,0.05,5,46,6.5813,0.5599,0.542,3.2,0.5226,578.0556,1893.6,3,3
10,25,0.05,0.05,0.05,0.05,8,42,8.884,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,25,0.05,0.05,0.05,0.05,8,43,8.9768,0.5599,0.5421,3.18,0.5227,578.0052,1893.7268,3,3
10,25,0.05,0.05,0.05,0.05,8,44,9.0708,0.5599,0.5421,3.18,0.5228,577.9029,1894.0123,3,3
10,25,0.05,0.05,0.05,0.05,8,45,8.741,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,25,0.05,0.05,0.05,0.05,8,46,8.9811,0.5599,0.5421,3.18,0.5228,578.0218,1893.684,3,3
10,25,0.05,0.05,0.05,0.05,12,42,12.409,0.5599,0.5419,3.21,0.5228,577.9898,1893.7612,3,3
10,25,0.05,0.05,0.05,0.05,12,43,11.877,0.5599,0.5421,3.18,0.5227,577.8922,1894.0418,3,3
10,25,0.05,0.05,0.05,0.05,12,44,11.8966,0.5599,0.5421,3.18,0.5227,577.8906,1894.0456,3,3
10,25,0.05,0.05,0.05,0.05,12,45,12.6464,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
10,25,0.05,0.05,0.05,0.05,12,46,11.9536,0.5599,0.5421,3.18,0.5227,578.0052,1893.7268,3,3
10,25,0.1,0.1,0.1,0.1,5,42,6.7435,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
10,25,0.1,0.1,0.1,0.1,5,43,6.6038,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
10,25,0.1,0.1,0.1,0.1,5,44,6.6357,0.5599,0.542,3.2,0.5228,577.8738,1894.0805,3,3
10,25,0.1,0.1,0.1,0.1,5,45,6.5668,0.5599,0.5419,3.21,0.5228,577.8754,1894.0766,3,3
10,25,0.1,0.1,0.1,0.1,5,46,6.9215,0.5599,0.5421,3.18,0.5228,578.0234,1893.6802,3,3
10,25,0.1,0.1,0.1,0.1,8,42,9.2117,0.5599,0.5419,3.21,0.5228,577.8754,1894.0766,3,3
10,25,0.1,0.1,0.1,0.1,8,43,9.5719,0.5599,0.5419,3.21,0.5228,577.9943,1893.749,3,3
