rank,population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,n_runs,mean_runtime_seconds,std_runtime_seconds,mean_dbi_before_ga,std_dbi_before_ga,mean_dbi_after_ga,std_dbi_after_ga,mean_dbi_improvement_pct,std_dbi_improvement_pct,mean_silhouette,std_silhouette,mean_ch_score,std_ch_score,best_single_run_dbi,best_single_run_silhouette
1,30,25,0.2,0.14,0.01,0.01,8,3,22.9878,1.3092,0.5599,0.0,0.5418,0.0,3.2233,0.0094,0.5227,0.0,577.9405,0.038,0.5418,0.5228
2,30,25,0.2,0.14,0.05,0.05,8,3,25.5173,3.3577,0.5599,0.0,0.5418,0.0,3.2233,0.0094,0.5227,0.0,577.9405,0.038,0.5418,0.5228
3,10,10,0.28,0.14,0.01,0.01,8,3,11.2751,0.1336,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5228,0.0,577.9667,0.0412,0.5418,0.5228
4,30,25,0.2,0.1,0.05,0.05,8,3,23.6893,0.8778,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5228,0.0,577.9662,0.0366,0.5418,0.5228
5,30,25,0.2,0.1,0.01,0.01,8,3,24.2712,2.019,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5228,0.0,577.9662,0.0366,0.5418,0.5228
6,20,25,0.28,0.1,0.01,0.01,8,3,15.9081,0.6753,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5228,0.0,577.9656,0.0374,0.5418,0.5228
7,20,25,0.28,0.1,0.05,0.05,8,3,16.0354,1.305,0.5599,0.0,0.5419,0.0,3.2167,0.0094,0.5228,0.0,577.9656,0.0374,0.5418,0.5228
8,20,10,0.2,0.14,0.05,0.05,5,3,11.2735,0.0328,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9959,0.0,0.5419,0.5228
9,20,10,0.2,0.14,0.01,0.01,5,3,11.3535,0.1973,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9959,0.0,0.5419,0.5228
10,10,25,0.2,0.1,0.01,0.01,8,3,9.4389,0.7179,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9954,0.0008,0.5419,0.5228
